County,State,2013,2014,2015,2016,2017,2018,2019
Sanpete County, Utah,"28,128","28,297","28,654","29,232","29,921","30,503","30,939"
Sevier County, Utah,"20,747","20,735","20,858","21,131","21,292","21,497","21,620"
Summit County, Utah,"38,420","39,113","39,640","40,512","41,330","41,890","42,145"
Tooele County, Utah,"60,633","61,442","62,639","64,612","67,486","69,989","72,259"
Uintah County, Utah,"35,682","36,918","37,791","36,264","35,228","35,405","35,734"
Utah County, Utah,"551,273","560,649","572,667","590,288","606,742","621,520","636,235"
Wasatch County, Utah,"26,584","27,814","29,118","30,375","31,890","33,067","34,091"
Washington County, Utah,"146,987","151,081","154,650","159,352","165,929","171,567","177,556"
Wayne County, Utah,"2,712","2,695","2,690","2,671","2,702","2,671","2,711"
Weber County, Utah,"238,062","240,152","242,872","247,131","251,576","255,697","260,213"
Addison County, Vermont,"36,934","36,932","36,929","36,931","36,900","36,873","36,777"
Bennington County, Vermont,"36,534","36,167","36,153","35,911","35,675","35,520","35,470"
Caledonia County, Vermont,"31,044","30,873","30,645","30,154","30,141","30,236","29,993"
Chittenden County, Vermont,"159,432","159,945","161,293","161,563","163,031","163,571","163,774"
Essex County, Vermont,"6,193","6,154","6,193","6,224","6,184","6,234","6,163"
Franklin County, Vermont,"48,407","48,763","48,988","48,963","48,969","49,258","49,402"
Grand Isle County, Vermont,"6,988","6,968","6,871","6,921","6,975","7,110","7,235"
Lamoille County, Vermont,"25,111","25,130","25,240","25,331","25,360","25,295","25,362"
Orange County, Vermont,"28,848","28,875","28,887","28,908","28,964","28,888","28,892"
Orleans County, Vermont,"27,135","27,024","27,034","26,766","26,811","26,859","27,037"
Rutland County, Vermont,"60,488","60,039","59,544","59,122","59,006","58,596","58,191"
Washington County, Vermont,"59,218","58,961","58,652","58,355","58,253","58,079","58,409"
Windham County, Vermont,"43,885","43,656","43,246","43,163","42,851","42,635","42,222"
Windsor County, Vermont,"55,993","55,727","55,541","55,345","55,224","55,204","55,062"
Accomack County, Virginia,"32,969","32,971","32,914","32,871","32,685","32,581","32,316"
Albemarle County, Virginia,"102,270","103,732","105,117","106,431","107,768","108,377","109,330"
Alleghany County, Virginia,"15,923","15,605","15,425","15,387","15,128","14,986","14,860"
Amelia County, Virginia,"12,656","12,713","12,784","12,801","12,980","13,057","13,145"
Amherst County, Virginia,"32,317","32,158","31,836","31,887","31,863","31,684","31,605"
Appomattox County, Virginia,"15,320","15,348","15,492","15,528","15,723","15,881","15,911"
Arlington County, Virginia,"224,894","225,980","228,548","231,259","234,647","236,025","236,842"
Augusta County, Virginia,"73,842","73,881","74,292","74,834","75,177","75,535","75,558"
Bath County, Virginia,"4,592","4,535","4,460","4,409","4,266","4,253","4,147"
Bedford County, Virginia,"76,177","77,034","77,629","77,993","78,378","78,882","78,997"
Bland County, Virginia,"6,673","6,583","6,532","6,472","6,354","6,303","6,280"
Botetourt County, Virginia,"32,994","33,080","33,380","33,252","33,313","33,352","33,419"
Brunswick County, Virginia,"16,984","16,825","16,845","16,618","16,570","16,336","16,231"
Buchanan County, Virginia,"23,625","23,152","22,752","22,212","21,604","21,369","21,004"
Buckingham County, Virginia,"17,150","16,931","17,017","17,051","17,038","17,043","17,148"
Campbell County, Virginia,"55,078","55,272","55,356","55,419","55,326","55,137","54,885"
Caroline County, Virginia,"29,248","29,741","29,900","30,099","30,432","30,751","30,725"
Carroll County, Virginia,"29,909","29,711","29,870","29,789","29,812","29,741","29,791"
Charles City County, Virginia,"7,072","6,978","7,046","7,034","7,026","7,000","6,963"
Charlotte County, Virginia,"12,279","12,175","12,179","12,119","12,077","11,944","11,880"
Chesterfield County, Virginia,"327,612","332,093","334,915","338,479","343,276","348,281","352,802"
Clarke County, Virginia,"14,253","14,315","14,239","14,294","14,454","14,511","14,619"
Craig County, Virginia,"5,138","5,176","5,136","5,120","5,062","5,102","5,131"
Culpeper County, Virginia,"48,606","49,237","49,551","50,319","51,235","51,795","52,605"
Cumberland County, Virginia,"9,848","9,839","9,756","9,745","9,828","9,857","9,932"
Dickenson County, Virginia,"15,526","15,344","15,201","15,014","14,722","14,526","14,318"
Dinwiddie County, Virginia,"28,084","28,094","28,148","28,468","28,630","28,633","28,544"
Essex County, Virginia,"11,161","11,071","11,096","11,077","10,969","10,896","10,953"
Fairfax County, Virginia,"1,131,784","1,136,271","1,140,401","1,144,188","1,148,728","1,148,463","1,147,532"
Fauquier County, Virginia,"67,139","68,116","68,423","68,805","69,547","70,642","71,222"
Floyd County, Virginia,"15,482","15,526","15,548","15,677","15,758","15,790","15,749"
Fluvanna County, Virginia,"25,825","25,969","26,133","26,187","26,480","26,898","27,270"
Franklin County, Virginia,"56,269","56,258","56,227","56,158","56,315","56,191","56,042"
Frederick County, Virginia,"81,474","82,714","83,493","84,638","86,456","88,173","89,313"
Giles County, Virginia,"16,988","16,849","16,762","16,827","16,754","16,799","16,720"
Gloucester County, Virginia,"36,768","37,024","37,010","37,114","37,295","37,341","37,348"
Goochland County, Virginia,"21,565","21,849","22,165","22,485","22,703","23,219","23,753"
Grayson County, Virginia,"15,128","15,922","15,959","15,867","15,697","15,635","15,550"
Greene County, Virginia,"18,848","19,105","19,183","19,309","19,593","19,692","19,819"
Greensville County, Virginia,"11,689","11,564","11,786","11,500","11,569","11,432","11,336"
Halifax County, Virginia,"35,386","35,204","35,103","34,990","34,575","34,181","33,911"
Hanover County, Virginia,"101,065","101,724","103,071","104,290","105,674","106,886","107,766"
Henrico County, Virginia,"318,640","321,835","324,375","325,931","327,559","328,993","330,818"
Henry County, Virginia,"52,748","52,237","51,940","51,645","51,346","51,050","50,557"
Highland County, Virginia,"2,205","2,238","2,196","2,210","2,217","2,208","2,190"
Isle of Wight County, Virginia,"35,526","35,865","36,159","36,326","36,571","36,972","37,109"
James City County, Virginia,"70,612","72,064","72,819","73,930","75,274","76,033","76,523"
King and Queen County, Virginia,"7,029","7,082","7,085","7,054","6,999","7,045","7,025"
King George County, Virginia,"24,897","25,260","25,414","25,947","26,337","26,612","26,836"
King William County, Virginia,"16,092","16,149","16,282","16,405","16,684","16,919","17,148"
Lancaster County, Virginia,"10,959","10,861","10,825","10,771","10,725","10,696","10,603"
Lee County, Virginia,"25,080","24,724","24,595","24,165","23,900","23,656","23,423"
Loudoun County, Virginia,"349,915","362,206","374,014","385,546","397,049","405,522","413,538"
Louisa County, Virginia,"33,987","34,310","34,611","35,304","35,912","36,784","37,591"
Lunenburg County, Virginia,"12,532","12,482","12,348","12,319","12,333","12,215","12,196"
Madison County, Virginia,"13,090","13,030","13,047","13,081","13,212","13,248","13,261"
Mathews County, Virginia,"8,898","8,813","8,834","8,769","8,709","8,792","8,834"
Mecklenburg County, Virginia,"31,239","31,104","30,922","30,813","30,693","30,624","30,587"
Middlesex County, Virginia,"10,781","10,657","10,686","10,749","10,625","10,733","10,582"
Montgomery County, Virginia,"96,589","97,107","97,317","98,172","98,142","98,532","98,535"
Nelson County, Virginia,"14,800","14,863","14,760","14,805","14,800","14,862","14,930"
New Kent County, Virginia,"19,516","20,019","20,377","21,009","21,638","22,317","23,091"
Northampton County, Virginia,"12,030","12,038","12,080","12,002","11,872","11,761","11,710"
Northumberland County, Virginia,"12,298","12,256","12,241","12,176","12,271","12,168","12,095"
Nottoway County, Virginia,"15,637","15,511","15,606","15,495","15,432","15,400","15,232"
Orange County, Virginia,"34,620","34,923","35,178","35,354","35,870","36,598","37,051"
Page County, Virginia,"23,723","23,784","23,662","23,619","23,784","23,972","23,902"
Patrick County, Virginia,"18,249","18,175","17,960","17,796","17,713","17,663","17,608"
Pittsylvania County, Virginia,"62,554","62,371","62,010","61,704","61,309","60,901","60,354"
Powhatan County, Virginia,"28,300","28,496","28,056","28,443","28,716","29,210","29,652"
Prince Edward County, Virginia,"22,714","22,975","23,120","23,020","22,678","22,906","22,802"
Prince George County, Virginia,"37,333","37,415","38,246","37,972","38,006","37,993","38,353"
Prince William County, Virginia,"437,735","443,782","450,978","456,496","463,069","466,235","470,335"
Pulaski County, Virginia,"34,546","34,340","34,351","34,249","34,225","34,060","34,027"
Rappahannock County, Virginia,"7,428","7,336","7,400","7,380","7,393","7,345","7,370"
Richmond County, Virginia,"8,952","8,884","8,781","8,758","8,889","8,970","9,023"
Roanoke County, Virginia,"93,311","93,378","93,376","93,528","93,939","94,086","94,186"
Rockbridge County, Virginia,"22,328","22,432","22,396","22,450","22,668","22,761","22,573"
Rockingham County, Virginia,"77,419","77,878","78,445","79,367","80,397","81,261","81,948"
Russell County, Virginia,"28,336","28,077","27,854","27,422","27,046","26,795","26,586"
Scott County, Virginia,"22,768","22,519","22,296","22,082","21,893","21,672","21,566"
Shenandoah County, Virginia,"42,506","42,729","42,848","42,907","43,276","43,473","43,616"
Smyth County, Virginia,"31,772","31,573","31,419","31,126","30,731","30,454","30,104"
Southampton County, Virginia,"18,329","18,223","18,136","18,080","17,841","17,713","17,631"
Spotsylvania County, Virginia,"127,392","128,804","129,948","131,252","132,739","134,011","136,215"
Stafford County, Virginia,"135,923","138,791","140,868","143,501","146,792","149,824","152,882"
Surry County, Virginia,"6,787","6,780","6,671","6,554","6,503","6,463","6,422"
Sussex County, Virginia,"11,766","11,723","11,692","11,414","11,379","11,241","11,159"
Tazewell County, Virginia,"44,017","43,379","42,905","42,155","41,303","41,058","40,595"
Warren County, Virginia,"38,500","40,126","38,716","39,165","39,409","40,006","40,164"
Washington County, Virginia,"54,776","54,603","54,268","54,100","54,179","54,067","53,740"
Westmoreland County, Virginia,"17,552","17,436","17,549","17,649","17,725","17,817","18,015"
Wise County, Virginia,"40,662","39,892","39,572","39,027","38,574","37,875","37,383"
Wythe County, Virginia,"29,282","29,055","29,097","28,912","28,829","28,698","28,684"
York County, Virginia,"65,980","66,523","67,802","67,832","68,022","67,976","68,280"
Alexandria city, Virginia,"149,637","151,375","153,654","156,698","159,215","159,069","159,428"
Bristol city, Virginia,"17,386","17,191","17,146","17,088","16,880","16,685","16,762"
Buena Vista city, Virginia,"6,652","6,549","6,529","6,435","6,482","6,494","6,478"
Charlottesville city, Virginia,"45,012","45,518","46,301","46,943","47,463","47,506","47,266"
Chesapeake city, Virginia,"230,327","233,360","235,111","237,464","240,143","242,359","244,835"
Colonial Heights city, Virginia,"17,487","17,442","17,444","17,398","17,424","17,504","17,370"
Covington city, Virginia,"5,827","5,772","5,663","5,637","5,576","5,578","5,538"
Danville city, Virginia,"42,623","42,263","41,947","41,665","41,044","40,649","40,044"
Emporia city, Virginia,"5,693","5,597","5,558","5,478","5,467","5,363","5,346"
Fairfax city, Virginia,"23,230","23,310","23,230","23,246","23,435","23,725","24,019"
Falls Church city, Virginia,"13,360","13,416","13,728","13,582","14,245","14,467","14,617"
Franklin city, Virginia,"8,536","8,392","8,331","8,201","8,145","8,089","7,967"
Fredericksburg city, Virginia,"27,818","28,256","28,043","28,360","28,498","29,171","29,036"
Galax city, Virginia,"6,931","6,899","6,800","6,604","6,484","6,348","6,347"
Hampton city, Virginia,"137,332","137,680","136,264","135,374","134,725","134,330","134,510"
Harrisonburg city, Virginia,"51,537","52,542","52,675","53,542","53,644","53,488","53,016"
Hopewell city, Virginia,"22,161","22,109","22,231","22,539","22,505","22,478","22,529"
Lexington city, Virginia,"7,146","7,125","7,162","7,148","7,154","7,297","7,446"
Lynchburg city, Virginia,"77,940","78,141","79,134","79,710","80,523","81,309","82,168"
Manassas city, Virginia,"41,082","41,142","41,409","41,189","41,141","41,046","41,085"
Manassas Park city, Virginia,"15,896","15,916","16,129","16,456","17,149","17,718","17,478"
Martinsville city, Virginia,"13,416","13,317","13,259","12,996","12,823","12,627","12,554"
Newport News city, Virginia,"181,275","181,522","180,958","180,209","179,447","178,523","179,225"
Norfolk city, Virginia,"245,468","246,576","246,457","245,680","244,543","243,585","242,742"
Norton city, Virginia,"4,099","4,135","4,009","3,972","3,918","3,972","3,981"
Petersburg city, Virginia,"32,311","32,241","31,892","31,380","31,137","31,056","31,346"
Poquoson city, Virginia,"12,094","12,009","12,021","11,952","12,039","12,169","12,271"
Portsmouth city, Virginia,"96,075","95,829","96,336","95,165","94,838","94,750","94,398"
Radford city, Virginia,"17,117","17,392","17,295","17,324","17,484","18,101","18,249"
Richmond city, Virginia,"213,860","217,044","220,856","225,369","227,230","229,221","230,436"
Roanoke city, Virginia,"98,849","99,427","99,669","99,337","98,986","99,009","99,143"
Salem city, Virginia,"25,317","25,428","25,364","25,252","25,373","25,293","25,301"
Staunton city, Virginia,"24,101","24,283","24,185","24,156","24,325","24,562","24,932"
Suffolk city, Virginia,"85,751","86,882","88,079","89,194","90,108","90,975","92,108"
Virginia Beach city, Virginia,"447,706","448,864","450,304","450,983","449,896","449,849","449,974"
Waynesboro city, Virginia,"21,167","21,305","21,542","21,757","22,242","22,531","22,630"
Williamsburg city, Virginia,"14,617","14,580","14,800","14,884","14,994","15,002","14,954"
Winchester city, Virginia,"27,321","27,382","27,480","27,785","28,178","27,962","28,078"
Adams County, Washington,"19,098","19,177","19,233","19,369","19,651","19,736","19,983"
Asotin County, Washington,"22,129","22,190","22,113","22,286","22,509","22,616","22,582"
Benton County, Washington,"184,318","186,489","190,218","193,494","198,200","201,286","204,390"
Chelan County, Washington,"73,723","74,121","75,041","75,855","76,298","76,752","77,200"
Clallam County, Washington,"72,046","72,467","73,202","74,240","75,637","76,551","77,331"
Clark County, Washington,"441,341","448,202","456,939","465,272","474,381","481,427","488,241"
Columbia County, Washington,"4,002","3,985","3,960","3,975","4,002","4,039","3,985"
Cowlitz County, Washington,"101,483","101,790","102,999","104,740","106,805","108,752","110,593"
Douglas County, Washington,"39,387","39,773","40,545","41,366","42,027","42,749","43,429"
Ferry County, Washington,"7,594","7,592","7,520","7,531","7,576","7,638","7,627"
Franklin County, Washington,"86,448","87,665","88,727","90,199","91,896","94,003","95,222"
Garfield County, Washington,"2,237","2,201","2,222","2,246","2,215","2,240","2,225"
Grant County, Washington,"91,701","92,897","93,527","94,221","95,357","96,672","97,733"
Grays Harbor County, Washington,"71,046","70,780","71,011","71,531","72,490","73,801","75,061"
Island County, Washington,"78,198","78,690","80,022","81,692","83,250","84,227","85,141"
Jefferson County, Washington,"30,004","30,147","30,339","30,910","31,210","31,746","32,221"
